Samsung Galaxy S22 Ultra,s22 ultra,3200,1440
Samsung Galaxy S22,s22,2400,1080
Samsung Galaxy S21 Ultra 5G,s21 ultra,3200,1440
Samsung Galaxy S21+ 5G,s21+,2400,1080
Samsung Galaxy S21 5G,s21,2400,1080
Samsung Galaxy S20 Ultra,s20 ultra,3200,1440
Samsung Galaxy S20,s20,3200,1440
Samsung Galaxy S10e,s10e,2280,1080
Samsung Galaxy S10+,s10+,3040,1440
Samsung Galaxy S10,s10,3040,1440
Samsung Galaxy S9+,s9+,2960,1440
Samsung Galaxy S9,s9,2960,1440
Samsung Galaxy S8,s8,2960,1440
Samsung Galaxy S8+,s8+,2960,1440
Samsung Galaxy Note 20,note 20,2400,1080
Samsung Galaxy Note 20 Ultra,note 20 ultra,3088,1440
Samsung Galaxy Note 10,note 10,2280,1080
Samsung Galaxy Note 9,note 9,2960,1440
Samsung Galaxy Note 8,note 8,2960,1440
Apple iPhone 14 Pro Max,14 pro max,2796,1290
Apple iPhone 14 Pro,14 pro,2556,1179
Apple iPhone 14 Plus,14 plus,2778,1284
Apple iPhone 14,14,2532,1170
Apple iPhone 13 Pro Max,13 pro max,2778,1284
Apple iPhone 13 Pro,13 pro,2532,1170
Apple iPhone 13,13,2532,1170
Apple iPhone 13 Mini,13 mini,2340,1080
Apple iPhone 12 Pro Max,12 pro max,2778,1284
Apple iPhone 12 Pro,12 pro,2532,1170
Apple iPhone 12,12,2532,1170
Apple iPhone 12 Mini,12 mini,2340,1080
Apple iPhone 11 Pro Max,11 pro max,2688,1242
Apple iPhone 11 Pro,11 pro,2436,1125
Apple iPhone 11,11,1792,828
Apple iPhone XR,xr,1792,828
Apple iPhone XS Max,xs max,2688,1242
Apple iPhone XS,xs,2436,1125
Apple iPhone X,x,2436,1125
Apple iPhone 8 Plus,8 plus,1920,1080
Apple iPhone 8,8,1334,750
Apple iPad Air 2022,ipad air 2022,2360,1640
Apple iPad Pro 2021 12.9",ipad pro 2021 12.9,2732,2048
Apple iPad Pro 2021 11",ipad pro 2021 11,2388,1668
Apple iPad Mini 6 2021,ipad mini 6 2021,2266,1488
Apple iPad 2021,ipad 2021,2160,1620
Google Pixel 7 Pro,pixel 7 pro,3120,1440
Google Pixel 7,pixel 7,2400,1080
Google Pixel 6a,pixel 6a,2400,1080
Google Pixel 6a,pixel 6a,2400,1080
Google Pixel 6 Pro,pixel 6 pro,3120,1440
Google Pixel 6,pixel 6,2400,1080
Google Pixel 5,pixel 5,2340,1080
Google Pixel 5a,pixel 5a,2400,1080
Google Pixel 4,pixel 4,2280,1080
Google Pixel 4a,pixel 4a,2340,1080
OnePlus 9 Pro,oneplus 9 pro,3216,1440
OnePlus 8T,oneplus 8t,2400,1080
